"Bus","Direction","coord_x","coord_y","Arret","Code"
"13","Simonis","50.885945","4.308625","UZ Brussel","1074"
"13","Simonis","0.0","0.0","Laerbeek","4070"
"13","Simonis","0.0","0.0","Pompiers","1003"
"13","Simonis","0.0","0.0","Arbre Ballon-Heymbosch","4226"
"13","Simonis","50.890416","4.315214","Demunter","1081"
"13","Simonis","50.889460","4.318190","Liebrecht","1004"
"13","Simonis","0.0","0.0","Schuermans","1005"
"13","Simonis","0.0","0.0","Dieleghem","1006"
"13","Simonis","50.885007","4.321757","Bonaventure","1007"
"13","Simonis","50.882661","4.322001","Reniers","1008"
"13","Simonis","50.881043","4.321790","Eugene Toussaint","1009"
"13","Simonis","50.878265","4.321409","Le Roux","1010"
"13","Simonis","50.874984","4.320602","Legrelle","1027"
"13","Simonis","50.873843","4.322479","Bruxellois","1013"
"13","Simonis","50.871012","4.324470","Miroir","1014"
"13","Simonis","50.867911","4.326561","Broustin","6805"
"13","Simonis","50.865071","4.328340","Parc Elisabeth","4116"
"13","UZ Brussel","50.863355","4.330671","Simonis","1183"
"13","UZ Brussel","50.868138","4.326480","Broustin","6864"
"13","UZ Brussel","50.871282","4.324371","Miroir","6865"
"13","UZ Brussel","50.874167","4.322535","Bruxellois","1062"
"13","UZ Brussel","50.875262","4.320517","Legrelle","1000"
"13","UZ Brussel","50.879155","4.321791","Le Roux","1065"
"13","UZ Brussel","50.881187","4.321846","Eugene Toussaint","1066"
"13","UZ Brussel","50.882814","4.322101","Reniers","1067"
"13","UZ Brussel","50.885043","4.321288","Bonaventure","1068"
"13","UZ Brussel","50.886265","4.319852","Soetens","1069"
"13","UZ Brussel","0.0","0.0","Schuermans","1070"
"13","UZ Brussel","50.889654","4.318171","Liebrecht","1026"
"13","UZ Brussel","50.889877","4.315769","Demunter","1080"
"13","UZ Brussel","0.0","0.0","Arbre Ballon-Heymbosch","4224"
"13","UZ Brussel","0.0","0.0","Pompiers","1075"
"13","UZ Brussel","0.0","0.0","Laerbeek","4225"
"14","Gare du Nord","50.885945","4.308625","UZ Brussel","1074"
"14","Gare du Nord","0.0","0.0","Dieleghem","1078"
"14","Gare du Nord","50.878263","4.316478","De Rivieren","1079"
"14","Gare du Nord","50.874984","4.320602","Legrelle","1027"
"14","Gare du Nord","50.873843","4.322479","Bruxellois","1013"
"14","Gare du Nord","50.871012","4.324470","Miroir","1014"
"14","Gare du Nord","50.867911","4.326561","Broustin","6805"
"14","Gare du Nord","50.865071","4.328340","Parc Elisabeth","4116"
"14","Gare du Nord","0.0","0.0","Simonis","1025"
"14","Gare du Nord","50.867474","4.336065","Belgica","5009"
"14","Gare du Nord","50.865946","4.338822","Vanderstichelen","5011"
"14","Gare du Nord","50.864060","4.344122","Picard","1019"
"14","Gare du Nord","0.0","0.0","Tour et Taxis","1020"
"14","Gare du Nord","0.0","0.0","Armateurs","1021"
"14","Gare du Nord","50.863306","4.353795","Willebroek","1016"
"14","Gare du Nord","0.0","0.0","WTC","1022"
"14","Gare du Nord","0.0","0.0","Gare du Nord","1023"
"14","UZ Brussel","50.860080","4.360273","Gare du Nord","1900"
"14","UZ Brussel","50.860826","4.358739","Gare du Nord","1030"
"14","UZ Brussel","50.861527","4.355557","WTC","1052"
"14","UZ Brussel","50.863315","4.354037","Willebroek","1051"
"14","UZ Brussel","0.0","0.0","Armateurs","1054"
"14","UZ Brussel","0.0","0.0","Tour et Taxis","1055"
"14","UZ Brussel","50.864456","4.343166","Picard","1056"
"14","UZ Brussel","50.866198","4.338410","Vanderstichelen","5074"
"14","UZ Brussel","50.867752","4.335611","Belgica","5076"
"14","UZ Brussel","50.865163","4.334533","Flessingue","1053"
"14","UZ Brussel","50.863355","4.330671","Simonis","1183"
"14","UZ Brussel","50.868138","4.326480","Broustin","6864"
"14","UZ Brussel","50.871282","4.324371","Miroir","6865"
"14","UZ Brussel","50.874167","4.322535","Bruxellois","1062"
"14","UZ Brussel","50.875262","4.320517","Legrelle","1000"
"14","UZ Brussel","50.878515","4.316549","De Rivieren","4065"
"14","UZ Brussel","0.0","0.0","Dieleghem","4064"
"15","UZ Brussel","50.860080","4.360273","Gare du Nord","1900"
"15","UZ Brussel","50.860826","4.358739","Gare du Nord","1030"
"15","UZ Brussel","50.861527","4.355557","WTC","1052"
"15","UZ Brussel","50.863315","4.354037","Willebroek","1051"
"15","UZ Brussel","0.0","0.0","Armateurs","1054"
"15","UZ Brussel","0.0","0.0","Tour et Taxis","1055"
"15","UZ Brussel","50.864456","4.343166","Picard","1056"
"15","UZ Brussel","50.866198","4.338410","Vanderstichelen","5074"
"15","UZ Brussel","50.867752","4.335611","Belgica","5076"
"15","UZ Brussel","50.865163","4.334533","Flessingue","1053"
"15","UZ Brussel","50.863355","4.330671","Simonis","1183"
"15","UZ Brussel","50.868138","4.326480","Broustin","6864"
"15","UZ Brussel","50.871282","4.324371","Miroir","6865"
"15","UZ Brussel","50.874167","4.322535","Bruxellois","1062"
"15","UZ Brussel","50.875262","4.320517","Legrelle","1000"
"15","UZ Brussel","50.876124","4.317873","Square du Centenaire","9103"
"15","UZ Brussel","50.879155","4.321791","Le Roux","1065"
"15","UZ Brussel","50.881187","4.321846","Eugene Toussaint","1066"
"15","UZ Brussel","50.882814","4.322101","Reniers","1067"
"15","UZ Brussel","50.885043","4.321288","Bonaventure","1068"
"15","UZ Brussel","50.886265","4.319852","Soetens","1069"
"15","UZ Brussel","0.0","0.0","Schuemans","1070"
"15","UZ Brussel","50.889654","4.318171","Liebrecht","1026"
"15","UZ Brussel","50.889877","4.315769","Demunter","1080"
"15","UZ Brussel","0.0","0.0","Arbre Ballon-Heymbosch","4224"
"15","UZ Brussel","0.0","0.0","Pompiers","1075"
"15","UZ Brussel","0.0","0.0","Laerbeek","4225"
"15","Gare du Nord","50.885945","4.308625","UZ Brussel","1074"
"15","Gare du Nord","0.0","0.0","Laerbeek","4070"
"15","Gare du Nord","0.0","0.0","Pompiers","1003"
"15","Gare du Nord","0.0","0.0","Arbre Ballon-Heymbosch","4226"
"15","Gare du Nord","50.890416","4.315214","Demunter","1081"
"15","Gare du Nord","50.889460","4.318190","Liebrecht","1004"
"15","Gare du Nord","0.0","0.0","Schuemans","1005"
"15","Gare du Nord","0.0","0.0","Dieleghem","1006"
"15","Gare du Nord","50.885007","4.321757","Bonaventure","1007"
"15","Gare du Nord","50.882661","4.322001","Reniers","1008"
"15","Gare du Nord","50.881043","4.321790","Eugene Toussaint","1009"
"15","Gare du Nord","50.878265","4.321409","Le Roux","1010"
"15","Gare du Nord","50.876286","4.317660","Square du Centenaire","1012"
"15","Gare du Nord","50.874984","4.320602","Legrelle","1027"
"15","Gare du Nord","50.873843","4.322479","Bruxellois","1013"
"15","Gare du Nord","50.871012","4.324470","Miroir","1014"
"15","Gare du Nord","50.867911","4.326561","Broustin","6805"
"15","Gare du Nord","50.865071","4.328340","Parc Elisabeth","4116"
"15","Gare du Nord","0.0","0.0","Simonis","1025"
"15","Gare du Nord","50.867474","4.336065","Belgica","5009"
